       act_type: 'tanh'
         l_rate: 0.8000
          beta1: 0.7000
     numint_its: 100
         epochs: 960
         d_rate: 0
       int_step: 0.1000
       lr_decay: 1
        buf_win: 10
      ADAPTIT_r: 2
      ADAPTIT_w: 250
    layer_sizes: [400 30 10 10]
       n_layers: 4
            var: [1 1 1 1]
      timestamp: '0306_164140'
          log_f: 3

Epoch 1 | Cost: 2.360165e+00
Epoch 2 | Cost: 2.281000e+00
Epoch 3 | Cost: 2.190254e+00
Epoch 4 | Cost: 2.103251e+00
Epoch 5 | Cost: 2.025003e+00
Epoch 6 | Cost: 1.954865e+00
Epoch 7 | Cost: 1.890946e+00
Epoch 8 | Cost: 1.832601e+00
Epoch 9 | Cost: 1.780518e+00
Epoch 10 | Cost: 1.735424e+00
Epoch 11 | Cost: 1.697099e+00
Epoch 12 | Cost: 1.664354e+00
Epoch 13 | Cost: 1.635617e+00
Epoch 14 | Cost: 1.609539e+00
Epoch 15 | Cost: 1.585259e+00
Epoch 16 | Cost: 1.562345e+00
Epoch 17 | Cost: 1.540581e+00
Epoch 18 | Cost: 1.519797e+00
Epoch 19 | Cost: 1.499804e+00
Epoch 20 | Cost: 1.480412e+00
Epoch 21 | Cost: 1.461470e+00
Epoch 22 | Cost: 1.442888e+00
Epoch 23 | Cost: 1.424630e+00
Epoch 24 | Cost: 1.406695e+00
Epoch 25 | Cost: 1.389094e+00
Epoch 26 | Cost: 1.371835e+00
Epoch 27 | Cost: 1.354919e+00
Epoch 28 | Cost: 1.338334e+00
Epoch 29 | Cost: 1.322066e+00
Epoch 30 | Cost: 1.306094e+00
Epoch 31 | Cost: 1.290398e+00
Epoch 32 | Cost: 1.274956e+00
Epoch 33 | Cost: 1.259748e+00
Epoch 34 | Cost: 1.244753e+00
Epoch 35 | Cost: 1.229953e+00
Epoch 36 | Cost: 1.215328e+00
Epoch 37 | Cost: 1.200864e+00
Epoch 38 | Cost: 1.186543e+00
Epoch 39 | Cost: 1.172353e+00
Epoch 40 | Cost: 1.158279e+00
Epoch 41 | Cost: 1.144310e+00
Epoch 42 | Cost: 1.130436e+00
Epoch 43 | Cost: 1.116650e+00
Epoch 44 | Cost: 1.102945e+00
Epoch 45 | Cost: 1.089323e+00
Epoch 46 | Cost: 1.075787e+00
Epoch 47 | Cost: 1.062349e+00
Epoch 48 | Cost: 1.049026e+00
Epoch 49 | Cost: 1.035844e+00
Epoch 50 | Cost: 1.022838e+00
Epoch 51 | Cost: 1.010050e+00
Epoch 52 | Cost: 9.975295e-01
Epoch 53 | Cost: 9.853288e-01
Epoch 54 | Cost: 9.735006e-01
Epoch 55 | Cost: 9.620917e-01
Epoch 56 | Cost: 9.511376e-01
Epoch 57 | Cost: 9.406568e-01
Epoch 58 | Cost: 9.306473e-01
Epoch 59 | Cost: 9.210856e-01
Epoch 60 | Cost: 9.119297e-01
Epoch 61 | Cost: 9.031243e-01
Epoch 62 | Cost: 8.946094e-01
Epoch 63 | Cost: 8.863274e-01
Epoch 64 | Cost: 8.782296e-01
Epoch 65 | Cost: 8.702794e-01
Epoch 66 | Cost: 8.624529e-01
Epoch 67 | Cost: 8.547371e-01
Epoch 68 | Cost: 8.471265e-01
Epoch 69 | Cost: 8.396207e-01
Epoch 70 | Cost: 8.322214e-01
Epoch 71 | Cost: 8.249308e-01
Epoch 72 | Cost: 8.177508e-01
Epoch 73 | Cost: 8.106825e-01
Epoch 74 | Cost: 8.037265e-01
Epoch 75 | Cost: 7.968828e-01
Epoch 76 | Cost: 7.901506e-01
Epoch 77 | Cost: 7.835293e-01
Epoch 78 | Cost: 7.770178e-01
Epoch 79 | Cost: 7.706148e-01
Epoch 80 | Cost: 7.643192e-01
Epoch 81 | Cost: 7.581297e-01
Epoch 82 | Cost: 7.520450e-01
Epoch 83 | Cost: 7.460639e-01
Epoch 84 | Cost: 7.401852e-01
Epoch 85 | Cost: 7.344079e-01
Epoch 86 | Cost: 7.287309e-01
