       act_type: 'tanh'
         l_rate: 0.8000
          beta1: 0.7000
     numint_its: 200
         epochs: 2000
         d_rate: 0
       int_step: 0.1000
       lr_decay: 0.5000
        buf_win: 20
      ADAPTIT_r: 2
      ADAPTIT_w: 500
    layer_sizes: [400 250 100 10 10]
       n_layers: 5
            var: [1 1 1 1 1]
      timestamp: '0306_114718'
          log_f: 3

Epoch 1 | Cost: 2.231612e+00
Epoch 2 | Cost: 2.019078e+00
Epoch 3 | Cost: 1.807489e+00
Epoch 4 | Cost: 1.635183e+00
Epoch 5 | Cost: 1.497733e+00
Epoch 6 | Cost: 1.378933e+00
Epoch 7 | Cost: 1.271825e+00
Epoch 8 | Cost: 1.178502e+00
Epoch 9 | Cost: 1.100900e+00
Epoch 10 | Cost: 1.036599e+00
Epoch 11 | Cost: 9.817262e-01
Epoch 12 | Cost: 9.355134e-01
Epoch 13 | Cost: 8.995952e-01
Epoch 14 | Cost: 8.735494e-01
Epoch 15 | Cost: 8.535651e-01
Epoch 16 | Cost: 8.353408e-01
Epoch 17 | Cost: 8.168374e-01
Epoch 18 | Cost: 7.982926e-01
Epoch 19 | Cost: 7.806447e-01
Epoch 20 | Cost: 7.643621e-01
Epoch 21 | Cost: 7.493174e-01
Epoch 22 | Cost: 7.351863e-01
Epoch 23 | Cost: 7.217555e-01
Epoch 24 | Cost: 7.089567e-01
Epoch 25 | Cost: 6.967646e-01
Epoch 26 | Cost: 6.851220e-01
Epoch 27 | Cost: 6.739389e-01
Epoch 28 | Cost: 6.631285e-01
Epoch 29 | Cost: 6.526343e-01
Epoch 30 | Cost: 6.424352e-01
Epoch 31 | Cost: 6.325357e-01
Epoch 32 | Cost: 6.229535e-01
Epoch 33 | Cost: 6.137114e-01
Epoch 34 | Cost: 6.048319e-01
Epoch 35 | Cost: 5.963343e-01
Epoch 36 | Cost: 5.882326e-01
Epoch 37 | Cost: 5.805356e-01
Epoch 38 | Cost: 5.732485e-01
Epoch 39 | Cost: 5.663750e-01
Epoch 40 | Cost: 5.599194e-01
Epoch 41 | Cost: 5.538873e-01
Epoch 42 | Cost: 5.482860e-01
