Epoch 1 | Cost: 1.432494e+00
Epoch 2 | Cost: 1.372082e+00
Epoch 3 | Cost: 1.317425e+00
Epoch 4 | Cost: 1.269079e+00
Epoch 5 | Cost: 1.226753e+00
Epoch 6 | Cost: 1.189623e+00
Epoch 7 | Cost: 1.156722e+00
Epoch 8 | Cost: 1.127182e+00
Epoch 9 | Cost: 1.100319e+00
Epoch 10 | Cost: 1.075625e+00
Epoch 11 | Cost: 1.052740e+00
Epoch 12 | Cost: 1.031402e+00
Epoch 13 | Cost: 1.011423e+00
Epoch 14 | Cost: 9.926581e-01
Epoch 15 | Cost: 9.749950e-01
Epoch 16 | Cost: 9.583407e-01
Epoch 17 | Cost: 9.426155e-01
Epoch 18 | Cost: 9.277489e-01
Epoch 19 | Cost: 9.136767e-01
Epoch 20 | Cost: 9.003400e-01
Epoch 21 | Cost: 8.876839e-01
Epoch 22 | Cost: 8.756574e-01
Epoch 23 | Cost: 8.642128e-01
Epoch 24 | Cost: 8.533058e-01
Epoch 25 | Cost: 8.428954e-01
Epoch 26 | Cost: 8.329436e-01
Epoch 27 | Cost: 8.234156e-01
Epoch 28 | Cost: 8.142793e-01
Epoch 29 | Cost: 8.055056e-01
Epoch 30 | Cost: 7.970678e-01
Epoch 31 | Cost: 7.889415e-01
Epoch 32 | Cost: 7.811047e-01
Epoch 33 | Cost: 7.735373e-01
Epoch 34 | Cost: 7.662209e-01
Epoch 35 | Cost: 7.591391e-01
Epoch 36 | Cost: 7.522766e-01
Epoch 37 | Cost: 7.456199e-01
Epoch 38 | Cost: 7.391562e-01
Epoch 39 | Cost: 7.328742e-01
Epoch 40 | Cost: 7.267634e-01
Epoch 41 | Cost: 7.208144e-01
Epoch 42 | Cost: 7.150183e-01
Epoch 43 | Cost: 7.093670e-01
Epoch 44 | Cost: 7.038534e-01
Epoch 45 | Cost: 6.984704e-01
Epoch 46 | Cost: 6.932119e-01
Epoch 47 | Cost: 6.880720e-01
Epoch 48 | Cost: 6.830455e-01
Epoch 49 | Cost: 6.781272e-01
Epoch 50 | Cost: 6.733126e-01
Epoch 51 | Cost: 6.685974e-01
Epoch 52 | Cost: 6.639775e-01
Epoch 53 | Cost: 6.594492e-01
Epoch 54 | Cost: 6.550089e-01
Epoch 55 | Cost: 6.506534e-01
Epoch 56 | Cost: 6.463795e-01
Epoch 57 | Cost: 6.421844e-01
Epoch 58 | Cost: 6.380653e-01
Epoch 59 | Cost: 6.340195e-01
Epoch 60 | Cost: 6.300447e-01
