Epoch 1 | Cost: 2.430364e+00
Epoch 2 | Cost: 2.402261e+00
Epoch 3 | Cost: 2.374966e+00
Epoch 4 | Cost: 2.348328e+00
Epoch 5 | Cost: 2.322202e+00
Epoch 6 | Cost: 2.296468e+00
Epoch 7 | Cost: 2.271022e+00
Epoch 8 | Cost: 2.245784e+00
Epoch 9 | Cost: 2.220699e+00
Epoch 10 | Cost: 2.195729e+00
Epoch 11 | Cost: 2.170855e+00
Epoch 12 | Cost: 2.146078e+00
Epoch 13 | Cost: 2.121411e+00
Epoch 14 | Cost: 2.096882e+00
Epoch 15 | Cost: 2.072527e+00
Epoch 16 | Cost: 2.048393e+00
Epoch 17 | Cost: 2.024528e+00
Epoch 18 | Cost: 2.000983e+00
Epoch 19 | Cost: 1.977807e+00
Epoch 20 | Cost: 1.955040e+00
Epoch 21 | Cost: 1.932718e+00
Epoch 22 | Cost: 1.910864e+00
Epoch 23 | Cost: 1.889496e+00
Epoch 24 | Cost: 1.868622e+00
Epoch 25 | Cost: 1.848241e+00
Epoch 26 | Cost: 1.828350e+00
Epoch 27 | Cost: 1.808941e+00
Epoch 28 | Cost: 1.790002e+00
Epoch 29 | Cost: 1.771521e+00
Epoch 30 | Cost: 1.753483e+00
Epoch 31 | Cost: 1.735874e+00
Epoch 32 | Cost: 1.718677e+00
Epoch 33 | Cost: 1.701877e+00
Epoch 34 | Cost: 1.685458e+00
Epoch 35 | Cost: 1.669403e+00
Epoch 36 | Cost: 1.653699e+00
Epoch 37 | Cost: 1.638328e+00
Epoch 38 | Cost: 1.623277e+00
Epoch 39 | Cost: 1.608533e+00
Epoch 40 | Cost: 1.594081e+00
Epoch 41 | Cost: 1.579909e+00
Epoch 42 | Cost: 1.566008e+00
Epoch 43 | Cost: 1.552365e+00
Epoch 44 | Cost: 1.538972e+00
Epoch 45 | Cost: 1.525820e+00
Epoch 46 | Cost: 1.512901e+00
Epoch 47 | Cost: 1.500207e+00
Epoch 48 | Cost: 1.487733e+00
Epoch 49 | Cost: 1.475473e+00
Epoch 50 | Cost: 1.463420e+00
Epoch 51 | Cost: 1.451571e+00
Epoch 52 | Cost: 1.439920e+00
Epoch 53 | Cost: 1.428465e+00
Epoch 54 | Cost: 1.417200e+00
Epoch 55 | Cost: 1.406123e+00
Epoch 56 | Cost: 1.395231e+00
Epoch 57 | Cost: 1.384520e+00
Epoch 58 | Cost: 1.373987e+00
Epoch 59 | Cost: 1.363631e+00
Epoch 60 | Cost: 1.353448e+00
Epoch 61 | Cost: 1.343436e+00
Epoch 62 | Cost: 1.333593e+00
Epoch 63 | Cost: 1.323915e+00
Epoch 64 | Cost: 1.314402e+00
Epoch 65 | Cost: 1.305050e+00
Epoch 66 | Cost: 1.295858e+00
Epoch 67 | Cost: 1.286821e+00
Epoch 68 | Cost: 1.277939e+00
Epoch 69 | Cost: 1.269208e+00
Epoch 70 | Cost: 1.260625e+00
Epoch 71 | Cost: 1.252188e+00
Epoch 72 | Cost: 1.243893e+00
Epoch 73 | Cost: 1.235737e+00
Epoch 74 | Cost: 1.227718e+00
Epoch 75 | Cost: 1.219832e+00
Epoch 76 | Cost: 1.212075e+00
Epoch 77 | Cost: 1.204443e+00
Epoch 78 | Cost: 1.196934e+00
Epoch 79 | Cost: 1.189543e+00
Epoch 80 | Cost: 1.182267e+00
Epoch 81 | Cost: 1.175101e+00
Epoch 82 | Cost: 1.168042e+00
Epoch 83 | Cost: 1.161086e+00
Epoch 84 | Cost: 1.154229e+00
Epoch 85 | Cost: 1.147467e+00
Epoch 86 | Cost: 1.140796e+00
Epoch 87 | Cost: 1.134212e+00
Epoch 88 | Cost: 1.127712e+00
Epoch 89 | Cost: 1.121292e+00
Epoch 90 | Cost: 1.114947e+00
Epoch 91 | Cost: 1.108674e+00
Epoch 92 | Cost: 1.102469e+00
Epoch 93 | Cost: 1.096330e+00
Epoch 94 | Cost: 1.090252e+00
Epoch 95 | Cost: 1.084231e+00
Epoch 96 | Cost: 1.078265e+00
Epoch 97 | Cost: 1.072351e+00
Epoch 98 | Cost: 1.066484e+00
Epoch 99 | Cost: 1.060661e+00
Epoch 100 | Cost: 1.054881e+00
Epoch 101 | Cost: 1.049139e+00
Epoch 102 | Cost: 1.043433e+00
Epoch 103 | Cost: 1.037759e+00
Epoch 104 | Cost: 1.032115e+00
Epoch 105 | Cost: 1.026498e+00
Epoch 106 | Cost: 1.020906e+00
Epoch 107 | Cost: 1.015336e+00
Epoch 108 | Cost: 1.009784e+00
Epoch 109 | Cost: 1.004250e+00
Epoch 110 | Cost: 9.987298e-01
Epoch 111 | Cost: 9.932219e-01
Epoch 112 | Cost: 9.877241e-01
Epoch 113 | Cost: 9.822341e-01
Epoch 114 | Cost: 9.767502e-01
Epoch 115 | Cost: 9.712705e-01
Epoch 116 | Cost: 9.657935e-01
Epoch 117 | Cost: 9.603177e-01
Epoch 118 | Cost: 9.548420e-01
Epoch 119 | Cost: 9.493654e-01
Epoch 120 | Cost: 9.438873e-01
Epoch 121 | Cost: 9.384074e-01
Epoch 122 | Cost: 9.329257e-01
Epoch 123 | Cost: 9.274429e-01
Epoch 124 | Cost: 9.219598e-01
Epoch 125 | Cost: 9.164780e-01
Epoch 126 | Cost: 9.109996e-01
Epoch 127 | Cost: 9.055274e-01
Epoch 128 | Cost: 9.000648e-01
Epoch 129 | Cost: 8.946162e-01
Epoch 130 | Cost: 8.891864e-01
Epoch 131 | Cost: 8.837813e-01
Epoch 132 | Cost: 8.784074e-01
Epoch 133 | Cost: 8.730719e-01
Epoch 134 | Cost: 8.677828e-01
Epoch 135 | Cost: 8.625483e-01
Epoch 136 | Cost: 8.573773e-01
Epoch 137 | Cost: 8.522785e-01
Epoch 138 | Cost: 8.472605e-01
Epoch 139 | Cost: 8.423316e-01
Epoch 140 | Cost: 8.374990e-01
Epoch 141 | Cost: 8.327692e-01
Epoch 142 | Cost: 8.281472e-01
Epoch 143 | Cost: 8.236364e-01
Epoch 144 | Cost: 8.192385e-01
Epoch 145 | Cost: 8.149534e-01
Epoch 146 | Cost: 8.107795e-01
Epoch 147 | Cost: 8.067131e-01
Epoch 148 | Cost: 8.027496e-01
Epoch 149 | Cost: 7.988830e-01
Epoch 150 | Cost: 7.951064e-01
Epoch 151 | Cost: 7.914124e-01
Epoch 152 | Cost: 7.877937e-01
Epoch 153 | Cost: 7.842427e-01
Epoch 154 | Cost: 7.807523e-01
Epoch 155 | Cost: 7.773159e-01
Epoch 156 | Cost: 7.739275e-01
Epoch 157 | Cost: 7.705816e-01
Epoch 158 | Cost: 7.672739e-01
Epoch 159 | Cost: 7.640003e-01
Epoch 160 | Cost: 7.607577e-01
Epoch 161 | Cost: 7.575436e-01
Epoch 162 | Cost: 7.543558e-01
Epoch 163 | Cost: 7.511930e-01
Epoch 164 | Cost: 7.480539e-01
Epoch 165 | Cost: 7.449377e-01
Epoch 166 | Cost: 7.418439e-01
Epoch 167 | Cost: 7.387722e-01
Epoch 168 | Cost: 7.357223e-01
Epoch 169 | Cost: 7.326942e-01
Epoch 170 | Cost: 7.296879e-01
Epoch 171 | Cost: 7.267036e-01
Epoch 172 | Cost: 7.237412e-01
Epoch 173 | Cost: 7.208010e-01
Epoch 174 | Cost: 7.178830e-01
Epoch 175 | Cost: 7.149875e-01
Epoch 176 | Cost: 7.121144e-01
Epoch 177 | Cost: 7.092639e-01
Epoch 178 | Cost: 7.064362e-01
Epoch 179 | Cost: 7.036311e-01
Epoch 180 | Cost: 7.008489e-01
Epoch 181 | Cost: 6.980895e-01
Epoch 182 | Cost: 6.953529e-01
Epoch 183 | Cost: 6.926391e-01
Epoch 184 | Cost: 6.899481e-01
Epoch 185 | Cost: 6.872798e-01
Epoch 186 | Cost: 6.846342e-01
Epoch 187 | Cost: 6.820112e-01
Epoch 188 | Cost: 6.794108e-01
Epoch 189 | Cost: 6.768327e-01
Epoch 190 | Cost: 6.742770e-01
Epoch 191 | Cost: 6.717435e-01
Epoch 192 | Cost: 6.692321e-01
Epoch 193 | Cost: 6.667427e-01
Epoch 194 | Cost: 6.642752e-01
Epoch 195 | Cost: 6.618294e-01
Epoch 196 | Cost: 6.594051e-01
Epoch 197 | Cost: 6.570023e-01
